TIPODE;SUBTDE;CLASE;SUBCLASE;ANO FABRICACION;TIPO COMBUSTIBLE;CODIGO MAHA;DESCRIPCION MAHA;PROMEDIO VALOR;CANTIDAD VEHICULOS
ESPECIAL;ESPECIAL;;;1986;DIESEL;1301;ODOMETRO VEHICULO;125923;9
ESPECIAL;ESPECIAL;;;1986;DIESEL;38501;OPACIDAD - VEHI. DIE;18;2
ESPECIAL;ESPECIAL;;;1998;DIESEL;1301;ODOMETRO VEHICULO;10330;3
ESPECIAL;ESPECIAL;;;1998;DIESEL;38501;OPACIDAD - VEHI. DIE;16;3
ESPECIAL;MOTO ELECTRICA;;;2014;GASOLINA;1301;ODOMETRO VEHICULO;0;1
ESPECIAL;MOTO ELECTRICA;;;2016;GASOLINA;1301;ODOMETRO VEHICULO;1432;5
ESPECIAL;MOTO ELECTRICA;;;2017;GASOLINA;1301;ODOMETRO VEHICULO;260;2
ESPECIAL;MOTO ELECTRICA;;;2018;GASOLINA;1301;ODOMETRO VEHICULO;2454;36
ESPECIAL;MOTO ELECTRICA;;;2019;GASOLINA;1301;ODOMETRO VEHICULO;4685;43
ESPECIAL;MOTO ELECTRICA;;;2020;GASOLINA;1301;ODOMETRO VEHICULO;7616;56
ESPECIAL;MOTO ELECTRICA;;;2021;GASOLINA;1301;ODOMETRO VEHICULO;2349;23
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;1301;ODOMETRO VEHICULO;0;11
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;468;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39003;O2 EN BAJAS;1;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39008;RPM EN RALENTI;852;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;166;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39503;O2 EN ALTAS RPM;1;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;1;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39508;RPM EN ALTAS;2445;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;1301;ODOMETRO VEHICULO;44586;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;743;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39003;O2 EN BAJAS;1;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;2;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39008;RPM EN RALENTI;810;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;307;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39503;O2 EN ALTAS RPM;1;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;5;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39508;RPM EN ALTAS;2395;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;1301;ODOMETRO VEHICULO;8257;14
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;519;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39003;O2 EN BAJAS;3;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;0;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39008;RPM EN RALENTI;930;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;352;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39503;O2 EN ALTAS RPM;0;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39508;RPM EN ALTAS;2471;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;1301;ODOMETRO VEHICULO;22191;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;1757;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39003;O2 EN BAJAS;3;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;5;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39008;RPM EN RALENTI;1032;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;800;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39503;O2 EN ALTAS RPM;1;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;5;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39508;RPM EN ALTAS;2465;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;1301;ODOMETRO VEHICULO;38010;41
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;517;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39003;O2 EN BAJAS;2;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39008;RPM EN RALENTI;909;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;385;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39503;O2 EN ALTAS RPM;1;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39508;RPM EN ALTAS;2480;31
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;1301;ODOMETRO VEHICULO;89241;29
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;452;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39003;O2 EN BAJAS;2;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;2;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39008;RPM EN RALENTI;848;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;224;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39503;O2 EN ALTAS RPM;1;21
